thesis	attempt	metric	baseline	status	summary
#2	thesis/2-eliminate-redundant-array-allocations-in-esquery-js	166.9500	166.9500	discarded	Thorough analysis of esquery.js hot path. 168K esquery.matches() calls per verify, each ~20-50ns via V8 JIT cached matchers. Tried isNodeTypeOnly flag, child/compound fast negatives, dispatch simplification. All within noise or caused hidden-class deopt regressions. Esquery dispatch path ~15-20ms of ~52ms traverseSync. Existing selectorCache and thesis #1 pre-merged maps already eliminate most redundant work.
#3	thesis/3-lazy-initialization-of-sourcecode-caches-and-scope-weakmaps	352.0600	374.4700	discarded	[v1-accepted, not merged to v2] Replace createIndexMap (19ms) with binary search over sorted tokens array. Also defer sortedMerge of tokensAndComments via lazy getter. Binary search uses O(log n) per lookup (~17 comparisons for 155k tokens) vs O(1) with pre-built hash map, but eliminates the 310k-entry hash map construction entirely. Mean of 3 runs: 352.06ms vs 374.47ms baseline (~22ms improvement). Fingerprint verified: 4944605e99e3, 63 messages.
#4	thesis/4-reduce-forkcontext-allocation-in-code-path-analysis	388.0700	393.5600	discarded	Replaced Object.defineProperty with direct assignment in CodePathSegment constructor, added fast-path in flattenUnusedSegments for all-used segments. Improvement only ~5ms (below 10ms threshold). Code path analysis allocation overhead is not the primary bottleneck.
#5	thesis/5-optimize-rule-listener-dispatch-in-sourcecodevisitor	391.0100	390.6300	non_improvement	Replaced Object.keys().forEach with for-in loop for rule iteration, added fast path for listener wrappers with explicit positional args (a,b,c) instead of rest/spread. Mean of 3 runs: candidate 391.01ms vs baseline 390.63ms. Rest/spread overhead is negligible in V8 Node 22; the wrapper function call is not the bottleneck.
#7	thesis/7-index-disable-directives-by-line-for-faster-filtering-attempt-1	232.6000	231.3100	discarded	Fast-pathed the empty-directive case in apply-disable-directives after confirming tests/bench/large.js contains 0 eslint-disable/enable directives. 5 outer runs: candidate mean 232.60ms (223.91-237.36) vs main mean 231.31ms (222.57-236.78); fingerprint stayed 4944605e99e3 and tests/lib/linter/apply-disable-directives.js passed, but the change regressed slightly and stayed far below the 10ms threshold.
#10	thesis/10-avoid-redundant-flatconfigarray-creation-in-linter-verify-attempt-1	245.4300	238.5700	discarded	Tried to streamline flat config finalization by reusing the flat-config schema validator, skipping duplicate top-level validation for FlatConfigArray-finalized configs, and reducing empty-option allocations in Config. 5 outer runs: candidate mean 245.43ms (228.62-291.10) vs main mean 238.57ms (225.20-256.79); fingerprint stayed 4944605e99e3 and focused config/linter tests passed, but the change regressed and missed the 10ms threshold.
#11	thesis/11-reduce-scope-analysis-overhead-via-lazy-scope-tree-construction	150.6000	150.6000	discarded	Exhaustive investigation of lazy scope tree construction and traversal optimizations. Tried: (1) plain object literals instead of VisitNodeStep/CallMethodStep - slower due to V8 class optimization, (2) inline traverseSyncDirect combining AST walk with selector dispatch - slower due to V8 preferring separated two-pass approach, (3) parent-setting in constructor + inline traversal - slower (two walks worse than one walk + array iteration), (4) push/pop ancestry instead of unshift/shift - negligible savings but new dispatch method caused deoptimization, (5) CodePathAnalyzer forwardCurrentToHead early bail-out - slower due to JIT deoptimization, (6) lean inline walk replacing Traverser - slower due to closure vs prototype method optimization. Phase breakdown: analyze=32ms (outside editable surface), traverse=25ms (CPA=22ms), traverseSync=45ms (dispatch=40ms), other=35ms (parse+rules). V8 JIT deeply optimizes existing code patterns; every perturbation causes deoptimization.
#12	thesis/12-optimize-token-and-comment-lookup-methods-in-sourcecode-attempt-1	291.9400	293.7400	discarded	Fast-pathed common TokenStore token lookups and adjacent comment scans. 5 outer runs: candidate mean 291.94ms (251.79-338.79) vs main mean 293.74ms (251.34-344.34); targeted token-store and affected rule tests passed, but the result stayed within noise.
#13	thesis/13-reduce-object-allocation-in-ast-node-creation-during-parsing-attempt-1	229.1600	229.0100	discarded	Tried to reduce SourceCode constructor allocation by lazily computing tokensAndComments, lines, and lineStartIndices instead of building them eagerly. 5 outer runs: candidate mean 229.16ms (220.16-236.85) vs main mean 229.01ms (219.10-241.64); fingerprint stayed 4944605e99e3 and SourceCode tests passed, but the result was effectively noise and far below the 10ms threshold.
#17	thesis/17-eliminate-polymorphic-call-sites-in-traversal-hot-loop	350.6000	351.1700	discarded	Wrapper elimination: moved try-catch + ruleId attribution from per-rule closures in linter.js into callSync/callSyncSingle in SourceCodeVisitor. Fast path now passes raw listeners directly. 3 outer runs each: candidate mean 350.60ms (348.13-352.10) vs main mean 351.17ms (347.61-356.54). Fingerprint 4944605e99e3, 63 messages. Delta ~0.6ms, within noise. Combined with prior push/pop ancestry attempt (~1.5ms), the full thesis yields no measurable improvement. V8 already inlines small closures efficiently; moving try-catch into the callee doesn't reduce total work.
