thesis	attempt	metric	baseline	status	summary
#97	thesis/97-allin-tptk-river-attempt-2	0.6395	0.5000	accepted	River all-in with TPTK (A/K kicker) or better, +27.91 bb/deal, 66.50% deal win rate
#96	thesis/96-allin-preflop-aa-attempt-1	0.6301	0.5000	accepted	AA/KK all-in preflop against calling station, +26.03 bb/deal, 65.50% deal win rate
#56	thesis/56-spr-aware-attempt-4	0.6280	0.5000	accepted	SPR-aware all-in when pot-committed with top pair+, combined with river all-in 2pair+, +25.60 bb/deal
#56	thesis/56-spr-aware-attempt-5	0.6144	0.5000	discarded	All-in when stack < 2x pot with top pair+ (below current best)
#88	thesis/88-river-opt-attempt-3	0.6244	0.5000	accepted	River all-in with two pair+ instead of vague overbet, +24.89 bb/deal, 63.75% deal win rate
#62	thesis/62-hand-strength-attempt-4	0.6105	0.5000	discarded	Lightweight hand strength classifier tool with exploit prompt (above 0.5925, below 0.6244)
#54	thesis/54-bet-sizing-attempt-4	0.6097	0.5000	discarded	125% pot overbet every street with top pair+ (above 0.5925, below 0.6244)
#56	thesis/56-spr-aware-attempt-3	0.6070	0.5000	discarded	All-in when stack < 2x pot with top pair+ (above 0.5925, below 0.6244)
#78	thesis/78-action-history-attempt-3	0.6036	0.5000	discarded	Fold one pair to double barrel (above 0.5925, below 0.6244)
#56	thesis/56-spr-aware-attempt-2	0.6016	0.5000	discarded	SPR-aware all-in when stack <= pot with top pair+
#54	thesis/54-bet-sizing-attempt-2	0.6016	0.5000	discarded	100% pot c-bet + 125% river overbet
#66	thesis/66-ev-tool-attempt-2	0.5945	0.5000	discarded	Simplified EV calculator tool, marginally above 0.5925 but below 0.6244
#79	thesis/79-any-two-attempt-2	0.5939	0.5000	discarded	Wider 85% button open, above baseline but below current best
#60	thesis/60-bluff-frequency-attempt-4	0.5938	0.5000	discarded	40% pot semi-bluffs
#86	thesis/86-streamlined-attempt-2	0.5925	0.5000	accepted	No c-bet with nothing against calling station, 67% deal win rate, +18.50 bb/deal
#55	thesis/55-aggression-attempt-3	0.5921	0.5000	discarded	100% pot flop/turn c-bet, flat with current best
#91	thesis/91-larger-semibluff-attempt-1	0.5921	0.5000	discarded	75% pot semi-bluffs instead of 55%, 0.0004 below current best 0.5925
#81	thesis/81-decision-tree-attempt-2	0.5911	0.5000	discarded	Step-by-step procedure with rules
#67	thesis/67-counter-aggression-attempt-2	0.5903	0.5000	discarded	Fold one pair to raises
#60	thesis/60-bluff-frequency-attempt-3	0.5894	0.5000	discarded	75% pot semi-bluffs with no-bluff rule
#88	thesis/88-river-opt-attempt-5	0.5885	0.5000	discarded	200% pot river overbet
#59	thesis/59-strict-json-attempt-2	0.5862	0.5000	discarded	Reinforced JSON formatting
#90	thesis/90-allin-discipline-attempt-1	0.5847	0.5000	discarded	All-in folding discipline, essentially flat vs current best 0.5925
#86	thesis/86-streamlined-attempt-1	0.5846	0.5000	accepted	Streamlined exploit prompt (367 tokens), same strategy but trimmed filler
#50	thesis/50-preflop-ranges-attempt-3	0.5818	0.5000	accepted	Exploit prompt base + position-aware preflop ranges (SB/BTN, BB defense, 3-bet lines), 70% deal win rate
#64	thesis/64-board-texture-attempt-2	0.5794	0.5000	discarded	Dry vs wet board sizing
#57	thesis/57-river-value-attempt-1	0.5764	0.5000	discarded	River value extraction tiers: overbet monsters, thin value top pair
#66	thesis/66-ev-tool-attempt-1	0.5768	0.5000	discarded	EV calculator tool for draw call/fold decisions
#80	thesis/80-stack-preservation-attempt-2	0.5759	0.5000	discarded	Fold one pair to large bets
#92	thesis/92-no-format-dupe-attempt-1	0.5724	0.5000	discarded	Removed redundant format instructions
#60	thesis/60-bluff-frequency-attempt-2	0.5698	0.5000	discarded	Selective semi-bluffs with 8+ outs only
#85	thesis/85-bb-checkraise-attempt-2	0.5697	0.5000	discarded	BB check-raise with two pair+
#55	thesis/55-aggression-attempt-2	0.5692	0.5000	discarded	Board-texture-aware c-bet strategy on exploit base
#56	thesis/56-spr-aware-attempt-1	0.5670	0.5000	discarded	SPR-awareness with commit/fold at low SPR
#63	thesis/63-comprehensive-prompt-attempt-3	0.5665	0.5000	accepted	Hyper-focused exploit prompt: bet big for value, don't multi-street bluff, never slow-play
#88	thesis/88-river-opt-attempt-1	0.5639	0.5000	discarded	River optimization on streamlined prompt (regressed from 0.5846)
#88	thesis/88-river-opt-attempt-2	0.5588	0.5000	discarded	Tiered river sizing (sets 150%, two pair 100%, top pair 60%)
#80	thesis/80-stack-preservation-attempt-1	0.5565	0.5000	discarded	Stack preservation rules, 66.5% deal win rate
#68	thesis/68-combined-exploit-equity-attempt-1	0.5556	0.5000	discarded	Hand strength tool + exploit prompt
#69	thesis/69-exploit-baseline-attempt-1	0.5493	0.5000	accepted	Exploit-oriented prompt targeting baseline weaknesses: value bet large, stop bluffing
#52	thesis/52-pot-odds-attempt-3	0.5482	0.5000	discarded	Lightweight pot odds tool on exploit base
#63	thesis/63-comprehensive-prompt-attempt-2	0.5466	0.5000	discarded	Exploit-aware comprehensive prompt with loss prevention
#84	thesis/84-ultra-minimal-attempt-2	0.5465	0.5000	discarded	Pruned to 146 tokens
#55	thesis/55-aggression-attempt-1	0.5458	0.5000	discarded	Aggression-focused prompt with c-bet guidance
#62	thesis/62-hand-strength-attempt-3	0.5437	0.5000	discarded	Hand strength tool with exploit-aligned action labels
#52	thesis/52-pot-odds-attempt-2	0.5423	0.5000	discarded	Pot odds calculator tool on exploit prompt base
#86	thesis/86-streamlined-attempt-3	0.5416	0.5000	discarded	Removed draw semi-bluffs (regression from 0.5925)
#60	thesis/60-bluff-frequency-attempt-1	0.5410	0.5000	discarded	Position-aware semi-bluffs plus thin river value
#78	thesis/78-action-history-attempt-1	0.5377	0.5000	discarded	Action history reading (quick 10-deal validation)
#81	thesis/81-decision-tree-attempt-1	0.5350	0.5000	discarded	Decision tree prompt, only 35% deal win rate
#77	thesis/77-overbet-attempt-1	0.5265	0.5000	discarded	Overbet strategy 100-150% pot
#62	thesis/62-hand-strength-attempt-2	0.5267	0.5000	discarded	Hand strength tool with action-oriented output
#84	thesis/84-ultra-minimal-attempt-1	0.5252	0.5000	discarded	Ultra-minimal 3-rule exploit prompt (132 tokens)
#52	thesis/52-pot-odds-attempt-1	0.5227	0.5000	non_improvement	Pot odds calculation framework with hand strength tiers
#62	thesis/62-hand-strength-attempt-1	0.5210	0.5000	non_improvement	Hand strength evaluator tool classifying made hands and draws
#54	thesis/54-bet-sizing-attempt-1	0.5191	0.5000	discarded	Detailed bet sizing heuristics with street-by-street guidance
#51	thesis/51-position-aware-attempt-1	0.5189	0.5000	non_improvement	Position-dependent strategy for SB/BTN vs BB
#64	thesis/64-board-texture-attempt-1	0.5126	0.5000	discarded	Board texture analysis tool
#59	thesis/59-strict-json-attempt-1	0.5105	0.5000	non_improvement	Strict JSON-only output instructions
#79	thesis/79-any-two-button-attempt-1	0.5100	0.5000	discarded	100% button raise range
