thesis	attempt	metric	baseline	status	summary
#1	thesis/1-dat-bomber-with-linear-step-3-bombing-pattern	0.3638	0.2467	accepted	DAT bomber step 2667. Crushes nonzeroscanner (1.0) and impgate (1.0), beats imp (0.39), but loses badly to papers (mice 0.0, rato 0.07) and other bombers (stone 0.12, dwarf 0.23).
#3	thesis/3-cmp-scanner-with-clear-loop-targeting-non-zero-cells-attempt-2	0.1379	0.3638	discarded	SEQ.I scanner with DAT bombing step 3044: pure scanner loses badly to papers and bombers in this gauntlet
#5	thesis/5-stone-warrior-with-optimized-bomb-spacing-and-decoy-attempt-1	0.5533	0.3638	accepted	Two-process DAT bomber with step 2667 and offset 4000. Crushes imp/nonzeroscanner/impgate (1.0), beats dwarf (0.58) and stone (0.54), still loses to papers
#7	thesis/7-spl-bomb-carpet-bomber-with-self-splitting-bootstrap-attempt-1	0.3438	0.3638	discarded	Two-process SPL bomber step 2667: 615 draws, 70 wins. SPL bombs stun but dont kill, yielding draws (1pt) instead of wins (3pt). Also tested SPL+DAT hybrid (0.5067) and single-proc SPL (0.2958)
#2	thesis/2-paper-replicator-using-spl-mov-self-copy-loop-attempt-3	0.6767	0.5533	accepted	Same mice-variant replicator rebased on current main (two-process bomber 0.5533). Paper scores 0.6767, beats 5/8 opponents.
#16	thesis/16-three-phase-warrior-quick-bomb-then-paper-replication-then-imp-spiral-attempt-3	0.3567	0.5533	discarded	Parallel bomber+paper (0.36): shared cycles halve both strategies. Sequential bomb-then-paper (0.005-0.04): self-bombing and broken phase transitions make it worse than either pure strategy
#15	thesis/15-paper-replicator-with-anti-scanner-decoy-and-aggressive-copy-distance-attempt-1	0.7192	0.6767	accepted	Mice paper with step 1741 (optimized via grid search). Beats 6/8: imp 0.92, dwarf 0.88, nonzeroscanner 0.96, impgate 0.95, dwarfmice 0.52, stone 0.87. Draws mice/rato.
#18	thesis/18-paper-replicator-with-embedded-scanner-to-kill-rival-papers	0.7250	0.7192	accepted	Paper replicator with distance 3457 (grid searched 30 distances + 14 fine-tuning). Scores 0.7250 vs 0.7192 baseline (dist=1741). Beats 6/8: imp 0.89, dwarf 0.89, nonzeroscanner 0.95, impgate 0.92, dwarfmice 0.50, stone 0.89. Draws mice/rato ~0.33.
#8	thesis/8-quickscanner-with-core-clear-and-imp-spiral-endgame-attempt-1	0.0088	0.7250	discarded	Quick bomb then imp ring: self-bombing destroys launch code (0.009). Imp-only strategies cap at ~0.33 (all draws). Cannot beat paper-dominated baseline.
#14	thesis/14-dual-bomber-with-optimized-step-size-grid-search-attempt-1	0.5188	0.7250	discarded	Tested 16 step combinations. Best: 2667+4001=0.5188. Dual bombers cant beat paper baseline (0.7250). Bombers lose to mice/rato papers consistently.
#21	thesis/21-aggressive-paper-with-embedded-dat-bombs-in-copy-payload	0.7271	0.7250	accepted	Paper with post-increment JMZ (>ptr) and distance 3457. Marginal improvement 0.7271 vs 0.7250. Grid searched 30 distances, 9 copy counts, and 4 structural variants. Post-increment on JMZ shifts copy source each round for better coverage.
#24	thesis/24-paper-replicator-with-copy-count-and-distance-co-optimization	0.7279	0.7271	accepted	Co-optimized paper: cnt=11 dist=3733 postinc. Searched 66 (cnt,dist) combos from cnt={8..13} x dist={3371..3733}. Key gain: dwarfmice improved from 0.45 to 0.57. Beats 6/8 opponents.
#25	thesis/25-unrolled-fast-copy-paper-with-single-instruction-per-cycle-replication-attempt-1	0.3329	0.7279	discarded	4x unrolled paper: 30 cycles/replication (vs 44 mice) but 13-instruction footprint makes it bomber-vulnerable. Scores 0.33, crushed by bombers despite faster copy.
#28	thesis/28-rato-style-replicator-with-indirect-self-restructuring-copy-mechanism-attempt-1	0.6750	0.7279	discarded	Rato-style replicator tested with 7 distances. Best: dist 3457 = 0.6750. Very resilient (18 losses) but slower replication than mice. Mice architecture peaks at 0.7500.
#16	thesis/16-three-phase-warrior-quick-bomb-then-paper-replication-then-imp-spiral-attempt-5	0.7500	0.7279	accepted	Paper with step 1741, count 20, rebased on current main (0.7279). Score 0.7500, beats 6/8 opponents.
#32	thesis/32-paper-with-spl-a-or-spl-f-modifier-variant-for-spawn-instruction-attempt-1	0.7804	0.7500	discarded	All SPL modifiers (B/A/F/X) score identically at 0.7804. SPL modifier has zero effect on paper performance because fork address is determined solely by A-operand @dest.
#33	thesis/33-paper-with-djn-a-loop-variant-for-copy-iteration-attempt-1	0.7338	0.7500	discarded	DJN.A with A-indirect (*ptr): 0.7338. Using A-field as counter scores lower than B-field (0.7804). B-indirect (@ptr) approach is more robust against bombs.
#34	thesis/34-two-distance-paper-alternating-replication-targets-attempt-1	0.6454	0.7500	discarded	Two-distance paper (d1=1751 d2=3457): 15 instructions, dual copy loops. Larger footprint and 2x slower replication negate any dual-chain benefit.
#35	thesis/35-paper-with-process-count-aware-replication-spl-cascade-before-copy-attempt-1	0.2658	0.7500	discarded	3-process SPL cascade: shared ptr/dest variables cause interleaved DJN/MOV corruption. Multiple processes with shared copy state is fundamentally broken for mice-style papers.
#31	thesis/31-paper-with-adaptive-copy-count-based-on-distance-to-opponent-alignment-attempt-1	0.7804	0.7500	accepted	Grid-searched 60+ step/count combos. Best: step=1751 count=20 scores 0.7804. Key gain over 1741: dwarfmice 0.80 (was 0.65). Near-perfect vs nonzeroscanner/impgate (0.99).
#30	thesis/30-paper-with-high-copy-count-and-distance-co-optimization-attempt-1	0.7804	0.7804	discarded	Exhaustive grid search: 80+ step values (797-4001) x count values (8-35). Best remains step=1751 cnt=20 at 0.7804. Mice-style paper architecture fully optimized.
#38	thesis/38-paper-with-trailing-trap-instructions-copied-as-payload	0.7408	0.7804	discarded	Tested 9 trap payload variants: JMP trap (0.55), SPL trap (0.58), DAT+JMP (0.72), DAT zones 3-12 (0.71-0.74), pre-bomb spawn (0.05), negative distance (0.72). Trap instructions slow replication. Mice/rato scores stuck at 0.33 regardless of payload.
#37	thesis/37-fine-tune-paper-around-dist-1751-cnt-20-with-modifier-and-addressing-tweaks-attempt-1	0.7804	0.7804	discarded	Tested MOV.I/.F/.X, @ptr/*ptr/}ptr, <dest/{dest. Only MOV.I @ptr <dest works (0.7804). MOV.F garbles copies (0.30). A-indirect *ptr disrupts copy order (0.34). Architecture fully optimized.
#38	thesis/38-paper-with-trailing-trap-instructions-copied-as-payload-attempt-1	0.6967	0.7804	discarded	SPL+DAT traps in payload: 11 instructions. Traps dont help vs papers (mice 0.35) but larger footprint devastates dwarfmice matchup (0.43 vs 0.80). Minimal 8-instruction paper is optimal.
#39	thesis/39-wide-search-paper-at-cnt-20-with-200-random-distances	0.7821	0.7804	accepted	Random search of 200 distances found dist=6942 (equiv to -1058 per step). Scores 0.7821: perfect 1.0 vs nonzeroscanner and impgate, 0.98 dwarf, 0.93 stone/imp, 0.75 dwarfmice. 543 wins, 248 draws, 9 losses.
#41	thesis/41-paper-with-distance-3401-found-via-random-sampling	0.7842	0.7821	accepted	Random search of 200 distances found dist=3401 at 0.7842. Perfect impgate (1.0), near-perfect scanner (0.99). Key: imp 0.96, stone 0.96, rato 0.34. 545 wins, 247 draws, 8 losses in 800 battles.
#43	thesis/43-paper-with-distance-6599-from-random-sampling	0.7846	0.7842	accepted	Random search found dist=6599 scoring 0.7846. Perfect nonzeroscanner/impgate (1.0), dwarf 0.97, dwarfmice 0.75, stone 0.95. 548 wins 239 draws 13 losses.
